datetime,option_type,0,n_observed,spline_mode
2026-01-07 09:15:00,CE,2,12,cubic
2026-01-07 09:15:00,PE,1,13,cubic
2026-01-07 09:20:00,CE,4,10,cubic
2026-01-07 09:20:00,PE,4,10,cubic
2026-01-07 09:25:00,CE,2,12,cubic
2026-01-07 09:25:00,PE,2,12,cubic
2026-01-07 09:30:00,CE,2,12,cubic
2026-01-07 09:30:00,PE,2,12,cubic
2026-01-07 09:35:00,CE,2,12,cubic
2026-01-07 09:35:00,PE,3,11,cubic
2026-01-07 09:40:00,CE,4,10,cubic
2026-01-07 09:40:00,PE,1,13,cubic
2026-01-07 09:45:00,CE,3,11,cubic
2026-01-07 09:45:00,PE,1,13,cubic
2026-01-07 09:50:00,CE,4,10,cubic
2026-01-07 09:50:00,PE,3,11,cubic
2026-01-07 09:55:00,CE,3,11,cubic
2026-01-07 09:55:00,PE,3,11,cubic
2026-01-07 10:00:00,CE,3,11,cubic
2026-01-07 10:00:00,PE,2,12,cubic
2026-01-07 10:05:00,CE,3,11,cubic
2026-01-07 10:10:00,CE,5,9,cubic
2026-01-07 10:10:00,PE,3,11,cubic
2026-01-07 10:15:00,CE,4,10,cubic
2026-01-07 10:15:00,PE,1,13,cubic
2026-01-07 10:20:00,CE,3,11,cubic
2026-01-07 10:20:00,PE,4,10,cubic
2026-01-07 10:25:00,CE,3,11,cubic
2026-01-07 10:25:00,PE,2,12,cubic
2026-01-07 10:30:00,CE,5,9,cubic
2026-01-07 10:30:00,PE,2,12,cubic
2026-01-07 10:35:00,CE,4,10,cubic
2026-01-07 10:35:00,PE,4,10,cubic
2026-01-07 10:40:00,CE,6,8,cubic
2026-01-07 10:40:00,PE,3,11,cubic
2026-01-07 10:45:00,CE,3,11,cubic
2026-01-07 10:45:00,PE,2,12,cubic
2026-01-07 10:50:00,CE,2,12,cubic
2026-01-07 10:50:00,PE,2,12,cubic
2026-01-07 10:55:00,CE,1,13,cubic
2026-01-07 10:55:00,PE,2,12,cubic
2026-01-07 11:00:00,CE,1,13,cubic
2026-01-07 11:00:00,PE,1,13,cubic
2026-01-07 11:05:00,CE,3,11,cubic
2026-01-07 11:05:00,PE,3,11,cubic
2026-01-07 11:10:00,CE,5,9,cubic
2026-01-07 11:10:00,PE,2,12,cubic
2026-01-07 11:15:00,CE,3,11,cubic
2026-01-07 11:15:00,PE,2,12,cubic
2026-01-07 11:20:00,CE,3,11,cubic
2026-01-07 11:20:00,PE,3,11,cubic
2026-01-07 11:25:00,CE,6,8,cubic
2026-01-07 11:25:00,PE,3,11,cubic
2026-01-07 11:30:00,PE,2,12,cubic
2026-01-07 11:35:00,CE,1,13,cubic
2026-01-07 11:35:00,PE,1,13,cubic
2026-01-07 11:40:00,CE,2,12,cubic
2026-01-07 11:40:00,PE,2,12,cubic
2026-01-07 11:45:00,CE,3,11,cubic
2026-01-07 11:45:00,PE,2,12,cubic
2026-01-07 11:50:00,CE,2,12,cubic
2026-01-07 11:50:00,PE,2,12,cubic
2026-01-07 11:55:00,CE,4,10,cubic
2026-01-07 11:55:00,PE,1,13,cubic
2026-01-07 12:00:00,CE,3,11,cubic
2026-01-07 12:00:00,PE,2,12,cubic
2026-01-07 12:05:00,CE,5,9,cubic
2026-01-07 12:05:00,PE,2,12,cubic
2026-01-07 12:10:00,CE,3,11,cubic
2026-01-07 12:10:00,PE,1,13,cubic
2026-01-07 12:15:00,CE,3,11,cubic
2026-01-07 12:15:00,PE,3,11,cubic
2026-01-07 12:20:00,CE,1,13,cubic
2026-01-07 12:20:00,PE,3,11,cubic
2026-01-07 12:25:00,CE,2,12,cubic
2026-01-07 12:25:00,PE,3,11,cubic
2026-01-07 12:30:00,CE,2,12,cubic
2026-01-07 12:30:00,PE,5,9,cubic
2026-01-07 12:35:00,CE,4,10,cubic
2026-01-07 12:35:00,PE,1,13,cubic
2026-01-07 12:40:00,CE,1,13,cubic
2026-01-07 12:40:00,PE,1,13,cubic
2026-01-07 12:45:00,CE,2,12,cubic
2026-01-07 12:45:00,PE,4,10,cubic
2026-01-07 12:50:00,CE,1,13,cubic
2026-01-07 12:50:00,PE,3,11,cubic
2026-01-07 12:55:00,CE,2,12,cubic
2026-01-07 12:55:00,PE,3,11,cubic
2026-01-07 13:00:00,CE,2,12,cubic
2026-01-07 13:00:00,PE,3,11,cubic
2026-01-07 13:05:00,CE,3,11,cubic
2026-01-07 13:05:00,PE,2,12,cubic
